기간	자치구	합계	단독주택	공동주택	기타주택	학교	일반업무	판매시설	숙박시설	종교시설	의료시설	공장 및 창고	작업장	위락오락시설	음식점	일반서비스시설	기타	운송(차량 철도 등)	임야	기타	위험물(가스 제조소 등)
2016	합계	6,443	1,087	1,516	24	48	447	204	37	41	40	84	119	66	735	279	339	481	57	839	-
2016	종로구	276	45	35	1	4	13	9	2	-	-	5	12	2	45	24	14	16	1	48	-
2016	중구	210	17	17	-	3	28	11	2	-	1	6	19	1	28	5	17	18	-	37	-
2016	용산구	197	42	27	-	2	14	11	4	1	1	5	2	1	32	7	7	19	-	22	-
2016	성동구	182	30	31	2	4	5	2	1	4	-	10	16	2	21	10	12	17	-	15	-
2016	광진구	215	61	35	1	2	9	7	-	-	3	3	4	3	30	11	12	11	3	20	-
2016	동대문구	236	53	34	3	-	6	10	1	1	1	3	13	4	30	13	16	20	-	28	-
2016	중랑구	195	40	49	1	1	3	7	3	5	-	1	9	3	16	11	7	9	3	27	-
2016	성북구	194	37	36	2	2	-	7	1	2	1	2	7	3	22	10	10	13	3	36	-
2016	강북구	170	47	42	1	-	10	7	5	3	1	-	3	1	12	3	2	10	4	19	-
2016	도봉구	222	59	91	-	-	9	5	-	1	2	-	1	1	10	4	10	7	3	19	-
2016	노원구	278	24	103	1	2	7	4	-	2	-	1	-	7	24	13	12	21	2	55	-
2016	은평구	217	49	64	-	1	2	9	-	1	2	-	-	5	23	3	8	19	3	28	-
2016	서대문구	227	38	78	1	6	9	3	-	-	-	1	2	2	25	7	10	15	1	29	-
2016	마포구	283	34	54	2	-	24	6	1	4	5	2	3	5	58	17	16	22	1	29	-
2016	양천구	229	29	102	2	-	8	10	1	1	1	1	1	-	14	5	11	15	2	26	-
2016	강서구	372	39	104	-	1	28	9	2	1	3	8	2	4	35	9	23	28	6	70	-
2016	구로구	247	59	54	-	1	16	7	1	2	2	5	6	1	25	11	10	17	4	26	-
2016	금천구	173	41	42	-	-	13	2	2	-	-	17	-	2	8	7	6	14	-	19	-
2016	영등포구	280	49	38	-	-	32	6	1	2	1	8	10	1	35	19	18	30	1	29	-
2016	동작구	215	43	52	1	4	6	5	1	3	1	-	1	2	23	12	11	10	2	38	-
2016	관악구	314	88	69	-	9	19	5	-	-	1	1	4	1	29	24	12	16	8	28	-
2016	서초구	286	14	61	2	1	38	18	-	-	-	1	-	1	29	4	24	41	5	47	-
2016	강남구	589	64	114	-	2	100	11	3	5	9	1	-	6	100	23	24	38	2	87	-
2016	송파구	325	39	90	3	-	34	24	2	1	1	1	2	3	31	8	24	30	3	29	-
2016	강동구	311	46	94	1	3	14	9	4	2	4	2	2	5	30	19	23	25	-	28	-
2017	합계	5,978	1,016	1,520	21	39	411	160	33	39	45	96	112	51	681	255	279	468	57	693	2
2017	종로구	234	29	34	-	2	10	12	2	3	3	7	14	2	36	4	20	16	1	39	-
2017	중구	198	13	23	1	1	28	6	2	-	-	6	20	1	30	10	8	15	-	34	-
2017	용산구	167	20	34	3	1	7	7	1	2	2	2	6	-	31	7	6	6	1	31	-
2017	성동구	197	31	37	-	1	7	6	-	2	-	17	21	1	14	15	11	16	-	18	-
2017	광진구	200	70	39	1	1	6	-	-	-	-	2	4	1	28	7	13	12	-	16	-
2017	동대문구	200	49	32	1	2	13	3	1	-	3	4	10	3	23	14	15	11	1	15	-
2017	중랑구	196	53	43	1	2	5	7	-	3	1	2	4	-	27	5	3	12	3	25	-
2017	성북구	183	48	37	1	-	4	9	2	6	2	-	5	4	11	11	7	12	1	22	1
2017	강북구	186	62	37	1	-	7	8	2	-	1	-	1	-	14	3	6	8	-	36	-
2017	도봉구	192	35	78	1	-	7	4	1	-	2	1	3	-	9	7	12	8	8	16	-
2017	노원구	279	27	127	-	3	8	10	-	3	2	-	2	2	19	7	15	23	3	28	-
2017	은평구	159	34	49	1	1	6	2	1	1	2	1	-	3	13	6	11	15	2	11	-
2017	서대문구	232	39	66	-	5	6	3	4	-	3	-	-	3	44	6	11	16	2	24	-
2017	마포구	235	31	43	-	1	24	2	-	-	4	-	3	-	45	18	7	28	5	24	-
2017	양천구	244	42	98	-	-	4	6	-	2	-	2	1	2	21	12	10	22	3	19	-
2017	강서구	364	33	148	2	1	21	8	1	4	-	7	2	9	25	3	19	38	4	39	-
2017	구로구	260	50	67	-	1	27	7	1	3	-	8	2	4	25	10	7	18	4	26	-
2017	금천구	174	48	42	-	1	14	3	-	1	-	14	1	1	10	9	2	14	1	13	-
2017	영등포구	239	37	27	-	1	34	4	1	1	2	9	5	3	46	10	5	31	-	23	-
2017	동작구	222	52	50	1	2	5	3	-	1	1	1	-	3	17	13	14	13	1	45	-
2017	관악구	286	64	63	-	9	24	3	3	1	2	2	1	3	29	28	6	13	9	25	1
2017	서초구	242	17	48	1	2	33	18	1	-	3	1	1	-	35	7	15	30	1	29	-
2017	강남구	502	54	103	3	2	76	7	8	2	11	1	-	2	82	25	27	32	-	67	-
2017	송파구	318	26	126	1	-	18	13	-	2	1	4	3	1	26	8	13	39	4	33	-
2017	강동구	269	52	69	2	-	17	9	2	2	-	5	3	3	21	10	16	20	3	35	-
2018	합계	6,368	1,073	1,669	22	30	438	207	63	48	50	74	111	65	682	294	261	416	34	829	2
2018	종로구	254	18	39	5	-	14	20	7	4	1	1	11	1	50	9	14	10	1	49	-
2018	중구	275	20	38	3	1	35	25	7	1	1	4	17	3	34	9	11	13	1	52	-
2018	용산구	211	44	43	1	-	12	5	1	1	2	1	2	4	27	7	6	29	-	26	-
2018	성동구	212	38	44	1	-	13	5	2	1	2	13	10	2	23	12	10	19	-	17	-
2018	광진구	203	56	40	-	3	4	2	2	2	3	3	4	1	27	10	4	19	1	22	-
2018	동대문구	203	41	31	-	1	8	5	2	2	1	11	9	3	30	17	6	12	-	23	1
2018	중랑구	254	88	61	-	1	10	1	2	5	1	-	5	3	21	7	7	11	2	29	-
2018	성북구	215	48	58	-	5	4	4	4	2	1	1	3	2	21	20	12	5	-	25	-
2018	강북구	203	65	44	-	-	5	9	2	-	2	-	2	2	15	9	4	4	-	40	-
2018	도봉구	237	43	101	2	1	12	4	-	1	-	2	12	3	15	8	9	8	1	15	-
2018	노원구	229	11	80	-	3	5	5	-	1	2	1	1	2	19	11	14	26	2	46	-
2018	은평구	214	42	84	-	-	9	8	-	3	-	1	1	3	17	5	3	8	2	27	1
2018	서대문구	229	39	67	-	1	5	10	2	2	3	1	1	2	21	10	12	10	2	41	-
2018	마포구	254	37	57	-	3	30	4	1	-	2	-	-	2	43	12	12	26	4	21	-
2018	양천구	219	21	98	-	-	13	6	-	6	-	3	2	1	11	6	5	19	-	28	-
2018	강서구	383	46	148	-	1	21	13	1	4	5	-	5	1	27	9	17	22	4	59	-
2018	구로구	263	43	87	-	1	16	12	1	-	1	5	4	2	24	11	10	12	1	33	-
2018	금천구	168	40	38	-	-	14	2	1	-	1	15	3	1	12	11	7	8	1	14	-
2018	영등포구	258	33	44	2	-	24	4	4	4	3	9	10	2	33	5	18	19	-	44	-
2018	동작구	205	49	61	1	-	7	3	2	-	4	-	-	3	14	14	6	10	1	30	-
2018	관악구	337	111	65	-	2	23	9	7	3	1	-	3	4	30	23	3	15	2	36	-
2018	서초구	242	24	49	2	1	34	19	3	1	3	2	1	1	26	12	17	25	5	17	-
2018	강남구	436	30	91	2	3	67	10	9	-	6	-	-	5	73	26	20	36	1	57	-
2018	송파구	340	30	115	2	3	35	18	1	2	4	-	1	6	35	4	14	30	2	38	-
2018	강동구	324	56	86	1	-	18	4	2	3	1	1	4	6	34	27	20	20	1	40	-
