기간	자치구	합계	전기적 요인	기계적 요인	화학적 요인	가스누출(폭발)	교통사고	부주의	기타	자연적인 요인	방화명확	방화의심	발화요인(미상)
2018	합계	6,368	1,525	379	43	27	25	3,639	24	12	84	83	527
2018	종로구	254	65	8	2	1	2	137	4	1	6	1	27
2018	중구	275	70	26	1	1	-	146	-	-	4	3	24
2018	용산구	211	42	13	-	2	2	106	-	-	2	3	41
2018	성동구	212	50	13	5	-	4	113	1	-	1	-	25
2018	광진구	203	41	9	2	1	-	121	1	-	1	1	26
2018	동대문구	203	45	17	4	1	1	107	-	-	2	2	24
2018	중랑구	254	59	7	1	2	-	166	-	-	1	3	15
2018	성북구	215	56	12	1	-	-	114	-	-	5	-	27
2018	강북구	203	57	4	2	2	-	115	-	3	2	2	16
2018	도봉구	237	30	28	1	1	-	156	1	-	2	1	17
2018	노원구	229	54	20	1	-	3	122	-	1	4	7	17
2018	은평구	214	47	13	-	-	-	124	-	-	-	4	26
2018	서대문구	229	41	16	-	1	-	147	5	-	5	6	8
2018	마포구	254	70	22	5	-	2	138	-	-	1	1	15
2018	양천구	219	66	5	1	1	-	131	-	1	1	3	10
2018	강서구	383	78	24	1	1	-	243	-	2	7	5	22
2018	구로구	263	56	12	1	1	-	168	-	-	4	7	14
2018	금천구	168	45	13	1	-	-	99	-	-	1	2	7
2018	영등포구	258	51	29	-	1	2	131	3	-	5	6	30
2018	동작구	205	54	6	2	-	-	123	1	1	3	4	11
2018	관악구	337	84	8	1	3	1	197	1	1	9	6	26
2018	서초구	242	71	10	5	-	4	120	-	1	2	4	25
2018	강남구	436	115	34	6	2	1	238	3	-	5	2	30
2018	송파구	340	91	16	-	2	3	186	3	-	5	2	32
2018	강동구	324	87	14	-	4	-	191	1	1	6	8	12
2019	합계	5,881	1,322	283	43	22	37	3,502	42	4	72	64	490
2019	종로구	232	68	7	2	-	-	122	2	-	5	2	24
2019	중구	213	49	10	-	1	-	125	1	-	3	5	19
2019	용산구	238	44	5	-	-	-	165	1	-	-	2	21
2019	성동구	194	46	9	2	-	1	106	1	-	4	1	24
2019	광진구	195	38	9	1	1	4	112	1	-	2	3	24
2019	동대문구	195	43	13	2	1	-	104	1	-	3	1	27
2019	중랑구	210	29	3	1	2	1	152	-	-	2	7	13
2019	성북구	191	56	20	2	2	2	84	-	-	2	5	18
2019	강북구	167	29	6	3	1	-	110	-	-	3	-	15
2019	도봉구	179	28	11	-	-	-	113	-	-	2	2	23
2019	노원구	203	47	17	3	-	2	114	1	2	3	1	13
2019	은평구	196	29	9	4	2	-	118	3	-	3	3	25
2019	서대문구	269	57	11	-	-	-	172	6	-	5	1	17
2019	마포구	246	58	13	3	1	6	133	-	-	1	2	29
2019	양천구	163	38	10	-	-	-	104	-	-	2	1	8
2019	강서구	331	72	15	3	-	2	204	6	1	3	3	22
2019	구로구	247	56	13	2	3	2	153	2	1	3	3	9
2019	금천구	141	28	9	1	1	2	88	-	-	3	2	7
2019	영등포구	265	45	21	1	1	3	151	-	-	8	5	30
2019	동작구	208	53	9	2	-	1	134	-	-	3	3	3
2019	관악구	311	64	7	2	2	1	188	1	-	8	2	36
2019	서초구	242	74	9	-	-	5	123	-	-	-	1	30
2019	강남구	456	121	22	6	-	2	279	3	-	-	4	19
2019	송파구	335	86	14	2	2	3	194	12	-	1	3	18
2019	강동구	254	64	11	1	2	-	154	1	-	3	2	16
