기간	자치구	합계	전기적 요인	기계적 요인	화학적 요인	가스누출(폭발)	교통사고	부주의	기타	자연적인 요인	방화명확	방화의심	발화요인(미상)
2016	합계	6,443	1,274	428	26	10	36	3,926	15	7	57	103	561
2016	종로구	276	38	26	-	1	-	172	1	-	1	4	33
2016	중구	210	52	19	-	-	3	120	-	-	1	5	10
2016	용산구	197	32	15	-	1	5	107	-	1	1	-	35
2016	성동구	182	42	10	2	-	1	103	2	-	1	-	21
2016	광진구	215	50	16	-	1	1	118	-	-	2	-	27
2016	동대문구	236	37	26	2	-	2	134	-	2	2	8	23
2016	중랑구	195	30	13	3	-	-	118	1	-	1	3	26
2016	성북구	194	37	11	1	1	-	105	1	-	2	2	34
2016	강북구	170	21	6	-	-	1	107	-	-	6	3	26
2016	도봉구	222	46	10	-	-	-	145	-	-	2	3	16
2016	노원구	278	40	34	2	-	2	166	-	-	2	10	22
2016	은평구	217	43	10	1	-	-	136	-	-	2	4	21
2016	서대문구	227	37	6	-	-	1	158	-	1	1	3	20
2016	마포구	283	66	8	2	1	-	169	-	-	-	5	32
2016	양천구	229	38	13	1	-	2	159	1	-	1	4	10
2016	강서구	372	60	29	1	-	1	244	-	1	2	-	34
2016	구로구	247	55	25	1	1	-	137	3	-	2	3	20
2016	금천구	173	35	19	-	2	-	96	-	-	3	8	10
2016	영등포구	280	50	30	-	-	3	165	3	-	3	11	15
2016	동작구	215	54	7	-	-	1	130	-	-	2	6	15
2016	관악구	314	60	21	1	-	2	200	-	-	1	7	22
2016	서초구	286	80	17	1	1	3	166	1	-	1	5	11
2016	강남구	589	132	30	6	-	3	380	-	1	5	3	29
2016	송파구	325	79	14	2	-	2	182	2	1	9	5	29
2016	강동구	311	60	13	-	1	3	209	-	-	4	1	20
2017	합계	5,978	1,315	364	39	23	29	3,555	21	10	56	67	499
2017	종로구	234	60	14	3	-	1	118	1	-	2	4	31
2017	중구	198	63	16	2	1	-	94	1	-	1	2	18
2017	용산구	167	25	14	-	-	1	105	-	-	-	-	22
2017	성동구	197	51	13	3	3	-	103	-	-	2	2	20
2017	광진구	200	53	6	-	1	1	127	-	-	-	3	9
2017	동대문구	200	45	10	1	-	-	114	-	1	4	1	24
2017	중랑구	196	30	7	-	1	-	128	1	-	-	2	27
2017	성북구	183	42	5	1	1	1	103	1	-	2	3	24
2017	강북구	186	31	8	-	1	1	132	-	1	1	3	8
2017	도봉구	192	28	20	1	1	-	126	-	-	7	1	8
2017	노원구	279	50	39	1	1	1	159	-	2	2	4	20
2017	은평구	159	45	12	-	-	-	68	-	-	-	2	32
2017	서대문구	232	54	9	4	2	-	144	2	1	-	6	10
2017	마포구	235	61	18	4	2	3	118	4	-	2	1	22
2017	양천구	244	51	11	-	1	-	163	1	1	5	2	9
2017	강서구	364	57	19	1	1	4	247	1	3	3	2	26
2017	구로구	260	50	14	1	1	-	172	-	-	2	1	19
2017	금천구	174	32	17	-	-	2	110	1	-	3	1	8
2017	영등포구	239	51	40	-	2	2	120	3	-	1	3	17
2017	동작구	222	49	10	3	-	-	144	-	-	1	5	10
2017	관악구	286	72	9	3	-	2	152	1	-	6	9	32
2017	서초구	242	65	12	1	-	5	137	-	-	-	2	20
2017	강남구	502	109	28	5	3	2	321	1	-	2	4	27
2017	송파구	318	81	5	-	-	2	189	3	-	5	2	31
2017	강동구	269	60	8	5	1	1	161	-	1	5	2	25
2018	합계	6,368	1,525	379	43	27	25	3,639	24	12	84	83	527
2018	종로구	254	65	8	2	1	2	137	4	1	6	1	27
2018	중구	275	70	26	1	1	-	146	-	-	4	3	24
2018	용산구	211	42	13	-	2	2	106	-	-	2	3	41
2018	성동구	212	50	13	5	-	4	113	1	-	1	-	25
2018	광진구	203	41	9	2	1	-	121	1	-	1	1	26
2018	동대문구	203	45	17	4	1	1	107	-	-	2	2	24
2018	중랑구	254	59	7	1	2	-	166	-	-	1	3	15
2018	성북구	215	56	12	1	-	-	114	-	-	5	-	27
2018	강북구	203	57	4	2	2	-	115	-	3	2	2	16
2018	도봉구	237	30	28	1	1	-	156	1	-	2	1	17
2018	노원구	229	54	20	1	-	3	122	-	1	4	7	17
2018	은평구	214	47	13	-	-	-	124	-	-	-	4	26
2018	서대문구	229	41	16	-	1	-	147	5	-	5	6	8
2018	마포구	254	70	22	5	-	2	138	-	-	1	1	15
2018	양천구	219	66	5	1	1	-	131	-	1	1	3	10
2018	강서구	383	78	24	1	1	-	243	-	2	7	5	22
2018	구로구	263	56	12	1	1	-	168	-	-	4	7	14
2018	금천구	168	45	13	1	-	-	99	-	-	1	2	7
2018	영등포구	258	51	29	-	1	2	131	3	-	5	6	30
2018	동작구	205	54	6	2	-	-	123	1	1	3	4	11
2018	관악구	337	84	8	1	3	1	197	1	1	9	6	26
2018	서초구	242	71	10	5	-	4	120	-	1	2	4	25
2018	강남구	436	115	34	6	2	1	238	3	-	5	2	30
2018	송파구	340	91	16	-	2	3	186	3	-	5	2	32
2018	강동구	324	87	14	-	4	-	191	1	1	6	8	12
