기준_년_분기_코드,상권_코드,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
2019_2,1001010,2935,1774,1161,3,404,690,742,680,416,2,245,435,432,401,259,1,159,255,310,279,157
2019_2,1001009,6413,3834,2579,7,841,1549,1578,1691,747,4,418,800,894,1114,604,3,423,749,684,577,143
2019_2,1001008,4362,2489,1873,6,922,1320,1025,667,422,2,374,799,633,408,273,4,548,521,392,259,149
2019_2,1001007,1171,816,355,0,136,192,317,334,192,0,76,129,237,232,142,0,60,63,80,102,50
2019_2,1001006,1996,1108,888,1,214,372,452,488,469,0,93,223,230,211,351,1,121,149,222,277,118
2019_2,1001005,5819,2884,2935,10,762,1304,1328,1305,1110,6,285,715,697,495,686,4,477,589,631,810,424
2019_2,1001004,12826,6999,5827,84,2661,3295,3437,1623,1726,7,1068,1690,2133,989,1112,77,1593,1605,1304,634,614
2019_2,1001003,11820,6646,5174,80,2534,3243,3220,1263,1480,3,1051,1759,2067,828,938,77,1483,1484,1153,435,542
2019_2,1001002,3333,1953,1380,4,360,639,806,782,742,1,144,386,447,451,524,3,216,253,359,331,218
2019_2,1001001,3865,2291,1574,7,316,674,926,943,999,2,134,400,528,561,666,5,182,274,398,382,333
2019_2,1001000,4354,2115,2239,12,469,727,1014,1033,1099,6,176,394,514,366,659,6,293,333,500,667,440
2019_2,1000999,6581,3643,2938,10,1012,1381,1352,1175,1651,6,345,719,773,664,1136,4,667,662,579,511,515
