기준_년_분기_코드,상권_코드,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
2019_2,1000668,96,3,6,,1,3,2,1,1,,,,,,7,,,,1,40
2019_2,1000744,120,8,4,,,7,,1,1,1,,,3,,28,,,,,27
2019_2,1000797,75,3,2,,1,11,1,1,1,,,,,,3,,,,,15
2019_2,1000823,110,4,3,,1,13,1,1,,,,,,,10,,,,,18
2019_2,1000808,76,,2,,,13,2,,1,1,,,,,,,,,,22
2019_2,1000788,149,6,6,,,13,2,1,,,,,2,5,10,,,,1,25
2019_2,1000679,115,3,6,2,3,13,1,,,,,,,,4,,,,1,23
2019_2,1000758,92,2,,,,9,3,,,,,,,,12,,,,1,18
2019_2,1000720,88,4,2,,2,8,2,1,,1,,,,4,3,,,,1,24
2019_2,1000698,128,2,6,2,3,19,3,1,1,,,,,,9,,,,,24
2019_2,1000829,161,6,4,,3,17,1,1,,,,,,1,22,,,,1,29
2019_2,1000817,153,4,3,,,16,3,1,,,,,2,,36,,,,,31
2019_2,1000806,105,3,1,,,7,1,1,,,,,1,,52,,,,,23
2019_2,1000673,133,5,7,,4,12,1,2,1,,,,1,,7,,,,,42
2019_2,1000818,53,2,1,,,2,2,,1,2,,,,,6,,,,,17
2019_2,1000159,148,6,8,,2,20,3,2,2,1,,,,,13,,,,1,14
2019_2,1000219,62,3,,,,7,2,,,,,,,,5,,,,1,11
2019_2,1000216,78,2,1,,3,10,2,,,,,,,,2,,,,,19
2019_2,1000227,68,2,,,,6,1,1,1,,,,,,2,,,,,11
2019_2,1000226,123,4,1,,1,11,,,1,,,,,,1,,,,1,22
2019_2,1000229,125,4,2,,1,13,3,2,,,,,1,,2,,,,,29
2019_2,1000203,112,4,3,,,12,2,1,1,2,26,,,,3,,,,1,20
2019_2,1000214,99,7,2,,2,16,2,1,1,,,,,,2,,,,,15
2019_2,1000206,63,5,1,,,4,3,1,1,1,,,,2,4,,,,,17
2019_2,1000198,128,2,4,,3,15,2,1,,,,,,,6,,,,,20
2019_2,1000185,86,2,1,,2,10,1,2,1,1,,,1,,1,,,,,23
2019_2,1000179,78,3,1,,1,6,1,1,1,,31,,,,3,,,,1,7
2019_2,1000585,45,4,1,,1,4,1,2,1,1,3,,1,,,,,,,4
2019_2,1000299,60,3,,,,1,,,2,1,13,,,1,2,,,,,15
2019_2,1000324,217,4,5,,3,18,1,,1,1,3,,2,,16,,,,1,25
2019_2,1000315,100,3,3,,1,17,2,1,,,,,,,8,,,,,19
2019_2,1000294,77,4,4,,2,8,2,1,,,,,1,,2,,,,1,12
2019_2,1000307,95,3,,,,7,3,4,1,,,,2,2,,,,,,38
2019_2,1000306,160,5,4,,,13,4,1,2,2,7,,3,2,16,,,,1,31
2019_2,1000305,83,2,3,,2,7,5,1,,1,,,1,,1,,,,1,13
2019_2,1000302,134,7,2,,,11,1,1,,,,,,,4,,,,,34
2019_2,1000278,141,3,6,,,14,2,1,1,1,20,,1,,6,,,,1,27
2019_2,1000018,147,4,6,,,11,1,,,1,,,1,4,13,,,,2,22
2019_2,1000257,82,5,1,,2,8,2,1,1,,,,1,,2,,,,,18
2019_2,1000266,68,1,,,,5,2,1,,,,,,2,,,,,,28
2019_2,1000246,77,3,1,,1,11,3,1,,,,,1,,3,,,,,9
2019_2,1000146,78,3,2,,,5,3,2,1,1,,,,4,,,,,,13
2019_2,1000007,194,8,4,,,3,1,1,1,2,,,,37,42,,,,,43
2019_2,1000129,103,4,4,,1,8,3,,1,1,,,2,4,7,,,,,18
2019_2,1000143,120,2,6,,2,10,1,2,,,,,1,,26,,,,1,11
2019_2,1000061,84,6,,,,6,,1,2,2,,,,4,3,,,,,27
2019_2,1000112,111,4,4,,1,10,,,,,,,,1,12,,,,,18
2019_2,1000617,78,3,1,,1,10,2,,,,,,,,3,,,,,15
2019_2,1000248,167,1,3,,1,17,2,1,,,,,1,,5,,,,1,27
2019_2,1000566,137,3,3,,,8,1,2,,,,,,,9,,,,2,21
2019_2,1000641,104,1,2,,,11,2,2,,,,,,,4,,,,1,18
2019_2,1000607,106,8,5,1,1,10,,,,2,1,,1,1,7,,,,,22
2019_2,1000633,84,6,5,2,1,11,,2,1,,,,,,7,,,,,14
2019_2,1000591,110,3,3,,3,10,3,1,,2,,,1,,3,,,,1,20
2019_2,1000423,53,3,,,,3,2,1,3,1,,,,,1,,,,1,13
2019_2,1000401,148,2,3,1,1,14,3,2,1,2,,,2,,4,,,,1,28
2019_2,1000349,123,6,4,1,3,11,1,,,,,,,,5,,,,,24
2019_2,1000523,69,1,2,,,9,2,1,1,2,,,,,2,,,,,9
2019_2,1000590,45,2,2,,,1,1,1,1,,,,7,,,4,,,,19
2019_2,1000588,102,3,4,1,,18,2,,1,1,,,1,,8,,,,,11
2019_2,1000353,107,3,3,,,11,3,2,,,,,1,,6,,,,1,15
2019_2,1000577,104,2,5,,1,10,2,2,1,,,,2,,3,,,,1,19
2019_2,1000576,79,2,2,,,7,2,1,1,,,,,1,3,,,,1,21
2019_2,1000560,106,1,2,,2,12,2,,1,2,,,,,4,,,,,13
2019_2,1000495,157,3,3,,,5,1,1,,,,,1,5,70,,,,2,22
2019_2,1000574,102,,5,,2,8,1,1,1,,,,1,,4,,,,1,24
2019_2,1000554,212,3,3,,1,22,2,,,,,,,,10,,,,2,20
2019_2,1000552,105,1,2,,1,18,3,1,1,,,,,,1,,,,,11
2019_2,1000269,170,1,5,,1,14,2,2,,,,,2,,16,,,,1,24
2019_2,1000548,74,3,1,,1,6,2,3,1,,,,,,5,,,,,4
2019_2,1000511,107,7,3,,1,16,1,1,1,1,,,,,2,,,,,17
2019_2,1000658,91,1,1,,,15,3,2,1,2,,,1,,2,,,,,21
2019_2,1000233,121,3,3,,,13,2,2,1,,,,,,6,,,,1,26
2019_2,1000603,68,2,1,,,5,4,1,2,,,,1,,2,,,,,12
2019_2,1000650,126,1,4,,2,18,2,,,,1,,1,,3,,,,1,17
2019_2,1000463,93,3,2,,,3,,1,,,12,,1,,8,,,,1,26
2019_2,1000624,82,1,3,,1,6,1,1,2,,,,2,1,2,,,,,28
2019_2,1000471,110,10,7,,,11,1,1,,,,,,,6,,,,,22
2019_2,1000447,106,5,4,,,8,1,4,1,,9,,1,,12,,,,,21
2019_2,1000437,82,3,4,,,4,5,3,2,2,10,,1,,9,,,,,12
2019_2,1000427,55,3,,,,5,2,1,2,,,,,,2,,,,1,4
2019_2,1000929,136,3,1,,,8,1,1,1,1,,,,8,17,,,,,13
2019_2,1000346,120,4,1,,,9,2,1,1,,,,1,2,,,,,,53
2019_2,1000376,91,4,1,,,14,3,2,,,,,,,,,,,,29
2019_2,1000337,139,7,4,,2,18,2,1,1,1,3,,4,,10,,,,1,21
2019_2,1000332,102,5,3,,1,12,1,1,1,1,,,1,,3,,,,,18
2019_2,1000358,91,1,4,,2,10,,1,1,,,,1,,3,,,,1,28
2019_2,1000988,93,2,4,,1,14,3,1,1,,,,,,6,,,,1,20
2019_2,1000686,82,5,6,,,7,2,1,,,,,,3,2,,,,1,17
2019_2,1000981,137,2,5,,1,14,2,2,,,,,1,,9,,,,1,17
2019_2,1000743,148,4,8,,1,15,1,1,,,,,1,1,9,,,,2,18
2019_2,1000891,71,3,1,,1,7,1,2,,1,,,,,3,,,,,21
2019_2,1000773,164,4,2,1,2,15,1,1,2,1,,,,1,17,,,,2,29
2019_2,1000772,144,3,3,,1,14,,,,,,,1,1,14,,,,1,24
2019_2,1000944,96,2,3,,1,15,,1,,,,,1,,13,,,,,11
2019_2,1000954,266,3,11,,1,34,1,2,,1,,,4,,32,,,,,19
2019_2,1000952,110,4,6,,4,12,2,1,,,,,2,2,9,,,,,15
2019_2,1000924,160,4,9,,,16,1,1,,,,,2,1,13,,,,3,8
2019_2,1000923,142,3,16,,1,10,,,,,,,1,,41,,,,,16
2019_2,1000851,74,1,3,,,6,2,1,1,1,,,1,1,5,,,,,21
2019_2,1000947,97,2,2,,1,8,3,,,,,,1,4,16,,,,,11
2019_2,1001006,96,5,1,,,11,4,2,1,,,,,,,,,,,24
2019_2,1000854,91,1,3,,,8,1,,,1,,,2,,7,,,,,24
2019_2,1000843,60,3,1,,,8,3,1,1,2,,,,,2,,,,,10
2019_2,1000941,122,3,5,,,12,2,2,1,1,,,2,1,1,,,,2,22
2019_2,1000385,133,2,1,,2,14,1,1,,,1,,,,5,,,,2,42
2019_2,1000699,92,1,2,,,13,3,2,,,,,1,,1,,,,,26
2019_2,1000730,102,1,2,1,2,8,1,1,,1,,,1,,21,,,,,22
2019_2,1000705,86,2,2,,1,7,3,1,,1,,,1,,11,,,,,20
2019_2,1000812,161,4,3,,3,23,4,2,,1,,,3,,7,,,,1,30
2019_2,1000824,202,3,6,,3,25,1,1,,,,,3,,9,,,,1,31
2019_2,1000667,92,6,1,,2,11,1,2,2,1,,,,1,1,,,,,21
2019_2,1000752,90,5,5,,1,8,2,2,,,,,1,1,10,,,,,14
2019_2,1000750,50,1,,,,2,,1,1,,,,2,,1,,,,,15
2019_2,1000683,94,2,3,,,13,2,2,1,1,,,2,,,,,,,29
2019_2,1000767,152,4,4,,2,17,4,2,,,,,3,,22,,,,,24
2019_2,1000764,98,2,3,1,1,15,1,2,,,,,2,,6,,,,1,16
2019_2,1000763,101,2,4,1,1,15,1,2,,,,,2,,2,,,,1,17
2019_2,1000733,193,2,5,,1,23,1,,,,,,3,,19,,,,1,21
2019_2,1000796,117,4,3,,1,15,1,,,,,,,,9,,,,,19
2019_2,1000794,49,2,,,,5,1,1,,,,,1,,,,,,,9
2019_2,1000707,108,2,2,,2,14,3,2,1,,,,,,7,,,,2,19
2019_2,1000674,112,5,4,,2,16,1,2,1,1,,,,1,2,,,,,27
2019_2,1000805,67,2,,,,1,1,1,,2,,,,,46,,,,,7
2019_2,1000663,90,4,1,1,,8,,2,1,,,,,1,2,,,,,18
2019_2,1000672,123,6,7,,2,17,,1,1,,,,,,5,,,,,27
2019_2,1000671,144,10,6,1,2,19,,1,,,,,,,7,,,,,20
2019_2,1000782,93,2,3,1,1,13,2,1,1,,,,2,,1,,,,,12
2019_2,1000237,150,3,3,,1,15,3,2,,,,,,,1,,,,1,25
2019_2,1000221,134,4,1,,,20,2,,,,9,,,,20,,,,1,17
2019_2,1000195,58,7,2,,,3,,1,1,,,,,,,,,,,9
2019_2,1000208,97,3,2,1,1,3,1,1,2,2,51,,,4,6,,,,,12
