기준_년_분기_코드,상권_코드,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,아파트_평균_면적,아파트_평균_시가
2019_2,1000311,169,2847,1779,933,62,0,993,1746,1632,1250,0,0,0,63,157840156
2019_2,1000180,113,2132,529,109,2,0,1085,885,687,115,0,0,0,50,108831752
2019_2,1000179,95,1500,216,14,0,0,949,763,18,0,0,0,0,49,100787136
2019_2,1000178,92,1810,2026,652,6,3,871,798,1413,1278,137,0,0,63,191387079
2019_2,1000177,102,2432,3850,680,102,0,176,865,1355,3908,672,88,0,68,230277221
2019_2,1000176,141,2605,1595,446,12,1,1036,1798,1508,316,1,0,0,57,158929666
2019_2,1000175,131,3128,1975,819,12,1,965,2138,2118,713,1,0,0,59,165723495
2019_2,1000174,91,2124,2024,320,10,0,354,1474,1982,620,48,0,0,61,168683638
2019_2,1000173,99,3374,2431,899,8,0,1579,1588,2600,945,0,0,0,62,172956039
2019_2,1000172,79,4157,2575,902,4,0,2008,1083,2676,1835,36,0,0,65,190023287
2019_2,1000171,70,1045,433,202,1,4,269,569,445,398,2,2,0,59,164946698
2019_2,1000170,25,1404,1481,404,0,0,562,282,241,777,934,415,78,61,247604221
2019_2,1000169,71,1834,1002,110,0,0,975,929,646,328,68,0,0,51,137649256
2019_2,1000168,58,1131,1083,40,2,0,598,416,1014,200,28,0,0,56,131923128
2019_2,1000167,509,5931,2609,175,28,14,1153,5642,1762,198,2,0,0,59,162158241
2019_2,1000166,349,4260,1189,78,14,0,978,3500,1022,36,5,0,0,54,157696553
2019_2,1000165,323,3707,1271,36,16,0,1099,3052,841,32,6,0,0,53,153559764
2019_2,1000164,151,2969,4703,623,118,10,111,682,1914,3226,1555,783,152,64,264909456
2019_2,1000163,378,4274,1815,71,20,0,757,4094,1260,67,2,0,0,57,160867211
2019_2,1000162,428,4729,2442,209,44,14,923,4820,1397,276,22,0,0,61,163369661
