기준_년_분기_코드,상권_코드,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
2019_2,1001010,2836071,6,12120296344,3292343150,1466629217,892634747,1607315609,1972205430,444384439,377360177,1550457530,516966045
2019_2,1001009,3139104,7,8976116500,2526811041,1073907318,659101424,1225903534,1395888645,327727539,283116450,1109489033,374171516
2019_2,1001008,2739189,6,6175425196,1846295541,733624837,464028324,882017929,906576672,219745655,205715662,662629513,254791063
2019_2,1001007,2553635,6,1609692543,452889712,190742939,108296299,224205264,256333051,52791935,47847994,208823957,67761392
2019_2,1001006,3019298,7,10437230074,2691268507,1267558670,747339442,1326410044,1722932932,403612797,304016442,1535009509,439081731
2019_2,1001005,3052890,7,10369642338,2641298836,1261673860,752324426,1307529751,1721080052,416050555,303321101,1536536962,429826795
2019_2,1001004,3159438,7,14716607079,3698280448,1809232206,1136822140,1820873664,2488778857,611681009,443933623,2089461377,617543755
2019_2,1001003,3199831,7,11061346167,3008862442,1349869180,844444468,1467042374,1775112740,442130239,347047739,1362705249,464131736
2019_2,1001002,2877374,6,12385543428,3190619649,1516873830,905893568,1584005439,2050843173,507978923,364320770,1749589089,515418987
2019_2,1001001,2524414,6,13184559810,3430338615,1619744305,988062580,1707338668,2173848550,559884826,396049917,1766365816,542926533
2019_2,1001000,2707223,6,9633724210,2339296846,1200566423,735817633,1165579989,1639906102,443355820,279878798,1434686317,394636282
2019_2,1000999,3156549,7,15291679008,4000864060,1876350937,1223149965,1958666824,2471835235,665926818,474353570,1993029367,627502232
2019_2,1000998,2500603,6,13441191060,3468983157,1634519873,988823799,1716161910,2231691241,524519564,405322571,1909071173,562097772
2019_2,1000997,2572262,6,7589354256,2113112189,925154428,571696332,1039970254,1202207285,303359353,238337632,878955019,316561764
2019_2,1000996,2870383,6,6510829966,1763783202,797401891,497676274,856722612,1047967596,261382751,204425035,807403594,274067011
2019_2,1000995,2837921,6,7490772472,2034070724,914727368,559715786,990433281,1212889774,291010651,234388772,937098602,316437514
2019_2,1000994,3018543,7,5548362683,1559946230,666974857,407096245,753160545,872234661,201460964,176082395,679119088,232287698
2019_2,1000993,3736838,7,7172329900,1684143426,889682559,537556275,850114614,1262623309,310253681,202561544,1132439866,302954626
2019_2,1000992,3248621,7,10877531699,2759661531,1322219930,780767336,1379941251,1838505085,420117294,315639358,1601119801,459560113
2019_2,1000991,2827340,6,12662514536,3187224872,1557122650,923528201,1596318755,2175140531,506593897,371000303,1808695249,536890078
