기간	자치구	계	소화전	저수조	급수탑	비상소화장치
2016	계	59,739	59,346	306	87	2,601
2016	종로구	2,872	2,822	46	4	265
2016	중구	2,506	2,442	60	4	235
2016	용산구	2,562	2,529	29	4	136
2016	성동구	1,533	1,525	4	4	78
2016	광진구	1,613	1,605	5	3	59
2016	동대문구	2,584	2,572	9	3	72
2016	중랑구	1,876	1,873	2	1	88
2016	성북구	2,824	2,804	15	5	213
2016	강북구	1,824	1,809	13	2	94
2016	도봉구	1,664	1,651	8	5	48
2016	노원구	2,430	2,407	19	4	46
2016	은평구	2,080	2,073	3	4	81
2016	서대문구	2,161	2,145	13	3	147
2016	마포구	2,448	2,431	12	5	112
2016	양천구	2,219	2,213	6	-	51
2016	강서구	2,578	2,571	2	5	43
2016	구로구	1,742	1,724	11	7	69
2016	금천구	1,318	1,312	3	3	30
2016	영등포구	3,354	3,340	14	-	76
2016	동작구	2,382	2,374	4	4	195
2016	관악구	2,737	2,728	5	4	185
2016	서초구	3,361	3,355	4	2	85
2016	강남구	3,612	3,604	3	5	65
2016	송파구	3,035	3,021	9	5	31
2016	강동구	2,424	2,416	7	1	97
2017	계	59,846	59,462	304	80	2,630
2017	종로구	2,866	2,816	46	4	262
2017	중구	2,511	2,447	60	4	235
2017	용산구	2,563	2,531	28	4	136
2017	성동구	1,536	1,528	4	4	78
2017	광진구	1,567	1,560	5	2	59
2017	동대문구	2,584	2,573	9	2	79
2017	중랑구	1,881	1,878	2	1	91
2017	성북구	2,828	2,808	15	5	214
2017	강북구	1,829	1,814	13	2	95
2017	도봉구	1,668	1,655	8	5	49
2017	노원구	2,434	2,411	19	4	47
2017	은평구	2,086	2,079	3	4	81
2017	서대문구	2,163	2,148	13	2	147
2017	마포구	2,451	2,435	12	4	113
2017	양천구	2,223	2,217	6	-	53
2017	강서구	2,582	2,576	2	4	46
2017	구로구	1,601	1,583	11	7	72
2017	금천구	1,488	1,482	3	3	31
2017	영등포구	3,360	3,346	14	-	78
2017	동작구	2,384	2,376	4	4	196
2017	관악구	2,740	2,732	5	3	186
2017	서초구	3,390	3,385	4	1	87
2017	강남구	3,647	3,639	3	5	64
2017	송파구	3,035	3,022	8	5	33
2017	강동구	2,429	2,421	7	1	98
2018	계	59,957	59,584	300	73	2,651
2018	종로구	2,864	2,814	46	4	266
2018	중구	2,510	2,448	58	4	238
2018	용산구	2,569	2,537	28	4	136
2018	성동구	1,539	1,532	4	3	81
2018	광진구	1,570	1,563	5	2	63
2018	동대문구	2,593	2,582	9	2	89
2018	중랑구	1,881	1,878	2	1	91
2018	성북구	2,829	2,809	15	5	214
2018	강북구	1,829	1,814	13	2	95
2018	도봉구	1,671	1,659	7	5	50
2018	노원구	2,436	2,415	18	3	47
2018	은평구	2,088	2,081	3	4	78
2018	서대문구	2,163	2,148	13	2	147
2018	마포구	2,451	2,435	12	4	113
2018	양천구	2,226	2,220	6	-	53
2018	강서구	2,605	2,600	2	3	47
2018	구로구	1,743	1,726	11	6	75
2018	금천구	1,356	1,351	3	2	30
2018	영등포구	3,366	3,352	14	-	83
2018	동작구	2,385	2,378	4	3	196
2018	관악구	2,747	2,739	5	3	177
2018	서초구	3,393	3,388	4	1	87
2018	강남구	3,651	3,644	3	4	65
2018	송파구	3,063	3,050	8	5	34
2018	강동구	2,429	2,421	7	1	96
