기준_년_분기_코드,상권_코드,남성_유동인구_수,여성_유동인구_수,주중_유동인구_수,주말_유동인구_수,남성_상주인구_수,여성_상주인구_수,남성_직장_인구_수,여성_직장_인구_수
2019_1,1000001,61268,56997,86815,31451,851.0,955.0,142.0,206.0
2019_1,1000002,147358,99261,156385,90234,383.0,458.0,254.0,232.0
2019_1,1000003,80073,64407,107665,36815,682.0,532.0,2188.0,2634.0
2019_1,1000012,70339,96051,121377,45018,1163.0,1423.0,56.0,45.0
2019_1,1000013,33437,32080,46747,18769,147.0,102.0,353.0,262.0
2019_1,1000014,66222,48514,93322,21413,251.0,218.0,371.0,196.0
2019_1,1000015,94669,94864,140519,49015,801.0,843.0,567.0,591.0
2019_1,1000016,77098,94666,126591,45170,319.0,380.0,223.0,234.0
2019_1,1000017,48710,31227,62341,17597,32.0,13.0,1282.0,616.0
2019_1,1000018,126652,131995,193631,65015,246.0,215.0,152.0,179.0
2019_1,1000004,155635,166753,248361,74025,711.0,742.0,58.0,46.0
2019_1,1000005,10781,12848,14580,9041,826.0,868.0,692.0,388.0
2019_1,1000006,27469,28140,39445,16166,301.0,362.0,197.0,296.0
2019_1,1000007,23456,31831,36402,18884,209.0,242.0,163.0,280.0
2019_1,1000008,12687,12289,16957,8020,324.0,358.0,178.0,239.0
2019_1,1000009,12915,11320,17724,6512,340.0,419.0,171.0,225.0
2019_1,1000010,133253,128405,186069,75591,458.0,489.0,114.0,106.0
2019_1,1000011,41436,37948,58612,20772,886.0,884.0,129.0,251.0
2019_1,1000025,61691,76310,95679,42319,433.0,492.0,36.0,53.0
2019_1,1000026,76,254,281,49,882.0,905.0,207.0,303.0
2019_1,1000027,21103,23419,33137,11385,323.0,399.0,363.0,246.0
2019_1,1000038,47365,46810,69388,24786,329.0,368.0,248.0,239.0
2019_1,1000039,56344,60867,88112,29096,36.0,495.0,9424.0,9141.0
2019_1,1000040,101069,80567,149948,31686,63.0,44.0,1992.0,1809.0
2019_1,1000041,63644,53478,89453,27669,746.0,734.0,520.0,370.0
2019_1,1000042,104084,102026,157068,49035,890.0,902.0,347.0,322.0
2019_1,1000043,57588,60642,86580,31649,952.0,1085.0,53.0,49.0
2019_1,1000028,183709,191940,276803,98844,1566.0,1785.0,401.0,322.0
2019_1,1000029,61947,67543,89857,39634,531.0,545.0,180.0,121.0
2019_1,1000030,170565,158231,240419,88379,1783.0,1768.0,260.0,228.0
