기준_년_분기_코드,상권_코드,아파트_단지_수,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
2019_2,1001495,20.0,242.0,7.0,12.0,0,0,9.0,1.0,0,0,0,0,0,0,23.0,22.0,0,0,0,3.0,31.0
2019_1,1001495,20.0,242.0,7.0,12.0,0,0,9.0,1.0,0,0,0,0,0,0,23.0,22.0,0,0,0,3.0,31.0
2019_2,1001494,8.0,327.0,5.0,25.0,0,0,33.0,0,0,0,0,0,0,4.0,14.0,49.0,0,0,0,5.0,39.0
2019_1,1001494,8.0,327.0,5.0,25.0,0,0,33.0,0,0,0,0,0,0,4.0,14.0,49.0,0,0,0,5.0,39.0
2019_2,1001493,6.0,165.0,3.0,13.0,2.0,2.0,12.0,0,1.0,1.0,3.0,0,0,4.0,14.0,16.0,0,0,0,4.0,21.0
2019_1,1001493,6.0,165.0,3.0,13.0,2.0,2.0,12.0,0,1.0,1.0,3.0,0,0,4.0,14.0,16.0,0,0,0,4.0,21.0
2019_2,1001491,67.0,144.0,4.0,7.0,0,0,3.0,0,0,0,0,0,0,0,6.0,20.0,0,0,0,2.0,27.0
2019_1,1001491,67.0,144.0,4.0,7.0,0,0,3.0,0,0,0,0,0,0,0,6.0,20.0,0,0,0,2.0,27.0
2019_2,1001490,30.0,17.0,3.0,0,0,0,3.0,3.0,1.0,0,0,0,0,0,0,1.0,0,0,0,0,1.0
2019_1,1001490,30.0,17.0,3.0,0,0,0,3.0,3.0,1.0,0,0,0,0,0,0,1.0,0,0,0,0,1.0
2019_2,1001489,7.0,36.0,0,1.0,0,0,5.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,4.0
2019_1,1001489,7.0,36.0,0,1.0,0,0,5.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,4.0
2019_2,1001488,8.0,5.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0
