기준_년_분기_코드,상권_코드,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균
2020_1,1001496,HH,정체,118,61,110,54
2020_1,1001495,LL,다이나믹,103,53,110,54
2020_1,1001494,HH,정체,147,71,110,54
2020_1,1001493,HH,정체,119,61,110,54
2020_1,1001492,HH,정체,147,62,110,54
2020_1,1001491,HH,정체,119,60,110,54
2020_1,1001490,HL,상권축소,115,47,110,54
2020_1,1001489,HL,상권축소,128,46,110,54
2020_1,1001488,LL,다이나믹,99,46,110,54
2020_1,1001487,HH,정체,174,74,110,54
2020_1,1001486,HH,정체,162,99,110,54
2020_1,1001485,LL,다이나믹,98,46,110,54
2020_1,1001484,HH,정체,111,57,110,54
2020_1,1001483,LL,다이나믹,102,53,110,54
2020_1,1001482,HH,정체,117,62,110,54
2020_1,1001481,HL,상권축소,124,50,110,54
2020_1,1001480,LL,다이나믹,109,53,110,54
2020_1,1001479,LL,다이나믹,98,52,110,54
2020_1,1001478,LL,다이나믹,108,52,110,54
2020_1,1001477,HH,정체,129,57,110,54
2020_1,1001476,HL,상권축소,118,48,110,54
2020_1,1001475,LL,다이나믹,86,51,110,54
2020_1,1001474,HH,정체,128,56,110,54
2020_1,1001473,HH,정체,129,69,110,54
2020_1,1001472,HH,정체,117,56,110,54
2020_1,1001471,LL,다이나믹,104,50,110,54
2020_1,1001470,LH,상권확장,95,57,110,54
2020_1,1001469,HH,정체,118,55,110,54
2020_1,1001468,HL,상권축소,134,50,110,54
2020_1,1001467,LH,상권확장,106,77,110,54
2020_1,1001466,LH,상권확장,103,54,110,54
2020_1,1001465,HH,정체,177,87,110,54
2020_1,1001464,HH,정체,139,67,110,54
2020_1,1001463,HL,상권축소,135,52,110,54
2020_1,1001462,LL,다이나믹,102,52,110,54
2020_1,1001461,HL,상권축소,112,41,110,54
2020_1,1001460,HL,상권축소,113,52,110,54
2020_1,1001459,HL,상권축소,115,53,110,54
2020_1,1001458,LH,상권확장,107,54,110,54
2020_1,1001457,HH,정체,148,68,110,54
2020_1,1001456,HH,정체,137,60,110,54
2020_1,1001455,HL,상권축소,131,53,110,54
2020_1,1001454,HH,정체,122,60,110,54
2020_1,1001453,LL,다이나믹,61,46,110,54
2020_1,1001452,HH,정체,152,56,110,54
2020_1,1001451,HH,정체,126,56,110,54
2020_1,1001450,HL,상권축소,122,49,110,54
2020_1,1001449,HH,정체,124,57,110,54
2020_1,1001448,LH,상권확장,109,56,110,54
2020_1,1001447,HH,정체,136,57,110,54
2020_1,1001446,HL,상권축소,120,47,110,54
2020_1,1001445,HH,정체,217,62,110,54
2020_1,1001444,LH,상권확장,97,55,110,54
2020_1,1001443,LH,상권확장,102,60,110,54
2020_1,1001442,HH,정체,168,64,110,54
2020_1,1001441,HH,정체,175,63,110,54
2020_1,1001440,LH,상권확장,85,57,110,54
2020_1,1001439,LH,상권확장,103,58,110,54
2020_1,1001438,LH,상권확장,110,58,110,54
2020_1,1001437,LH,상권확장,108,65,110,54
2020_1,1001436,HH,정체,173,85,110,54
2020_1,1001435,HH,정체,151,71,110,54
2020_1,1001434,HH,정체,184,103,110,54
2020_1,1001433,HH,정체,135,83,110,54
2020_1,1001432,LH,상권확장,106,75,110,54
2020_1,1001431,HH,정체,126,85,110,54
2020_1,1001430,HH,정체,117,58,110,54
2020_1,1001429,LH,상권확장,100,59,110,54
2020_1,1001428,LH,상권확장,84,76,110,54
2020_1,1001427,HH,정체,110,59,110,54
2020_1,1001426,HH,정체,140,81,110,54
2020_1,1001425,HL,상권축소,292,0,110,54
2020_1,1001424,HL,상권축소,120,50,110,54
2020_1,1001423,HH,정체,133,91,110,54
2020_1,1001422,HH,정체,134,59,110,54
2020_1,1001421,HH,정체,135,57,110,54
2020_1,1001420,HH,정체,133,58,110,54
2020_1,1001419,HH,정체,123,61,110,54
2020_1,1001418,HH,정체,121,55,110,54
2020_1,1001417,HH,정체,113,58,110,54
2020_1,1001416,HH,정체,138,57,110,54
2020_1,1001415,HL,상권축소,123,49,110,54
2020_1,1001414,HH,정체,114,59,110,54
2020_1,1001413,LH,상권확장,105,55,110,54
2020_1,1001412,HH,정체,136,55,110,54
2020_1,1001411,HL,상권축소,111,51,110,54
2020_1,1001410,HL,상권축소,135,51,110,54
2020_1,1001409,HH,정체,132,56,110,54
2020_1,1001408,LL,다이나믹,94,44,110,54
2020_1,1001407,LH,상권확장,93,72,110,54
2020_1,1001406,LH,상권확장,102,54,110,54
2020_1,1001405,HH,정체,152,65,110,54
2020_1,1001404,HL,상권축소,126,53,110,54
2020_1,1001403,LH,상권확장,95,55,110,54
2020_1,1001402,HH,정체,135,61,110,54
2020_1,1001401,HL,상권축소,153,51,110,54
2020_1,1001400,HL,상권축소,149,41,110,54
2020_1,1001399,HL,상권축소,131,49,110,54
2020_1,1001398,LL,다이나믹,102,51,110,54
2020_1,1001397,HL,상권축소,112,51,110,54
2020_1,1001396,LL,다이나믹,105,48,110,54
2020_1,1001395,HL,상권축소,116,50,110,54
2020_1,1001394,HL,상권축소,122,53,110,54
2020_1,1001393,HH,정체,138,74,110,54
2020_1,1001392,LL,다이나믹,98,47,110,54
2020_1,1001391,LL,다이나믹,110,54,110,54
2020_1,1001390,LH,상권확장,88,56,110,54
2020_1,1001389,LH,상권확장,104,59,110,54
2020_1,1001388,HH,정체,111,55,110,54
2020_1,1001387,HL,상권축소,111,42,110,54
2020_1,1001386,HL,상권축소,143,48,110,54
2020_1,1001385,HH,정체,129,63,110,54
2020_1,1001384,HH,정체,152,55,110,54
2020_1,1001383,HH,정체,144,57,110,54
2020_1,1001382,HH,정체,119,92,110,54
2020_1,1001381,HH,정체,165,119,110,54
2020_1,1001380,HL,상권축소,112,46,110,54
2020_1,1001379,HH,정체,153,89,110,54
2020_1,1001378,HH,정체,129,71,110,54
2020_1,1001377,HH,정체,130,61,110,54
2020_1,1001376,HH,정체,185,76,110,54
2020_1,1001375,HH,정체,139,57,110,54
2020_1,1001374,LH,상권확장,110,60,110,54
2020_1,1001373,HH,정체,127,69,110,54
2020_1,1001372,LH,상권확장,93,74,110,54
2020_1,1001371,LH,상권확장,100,62,110,54
2020_1,1001370,HL,상권축소,147,49,110,54
2020_1,1001369,LH,상권확장,54,68,110,54
2020_1,1001368,HH,정체,122,55,110,54
2020_1,1001367,LL,다이나믹,110,43,110,54
2020_1,1001366,HH,정체,225,98,110,54
2020_1,1001365,HH,정체,131,55,110,54
2020_1,1001364,HL,상권축소,113,49,110,54
2020_1,1001363,LH,상권확장,108,56,110,54
2020_1,1001362,LL,다이나믹,93,52,110,54
2020_1,1001361,LL,다이나믹,102,46,110,54
2020_1,1001360,HL,상권축소,118,49,110,54
2020_1,1001359,HH,정체,122,54,110,54
2020_1,1001358,HL,상권축소,135,51,110,54
2020_1,1001357,HH,정체,114,62,110,54
2020_1,1001356,HH,정체,118,64,110,54
2020_1,1001355,HH,정체,140,68,110,54
2020_1,1001354,LH,상권확장,93,55,110,54
2020_1,1001353,HH,정체,138,64,110,54
2020_1,1001352,HL,상권축소,111,52,110,54
2020_1,1001351,LH,상권확장,107,61,110,54
2020_1,1001350,HH,정체,127,67,110,54
2020_1,1001349,LL,다이나믹,94,47,110,54
2020_1,1001348,HL,상권축소,120,49,110,54
2020_1,1001347,HL,상권축소,110,48,110,54
2020_1,1001346,HL,상권축소,127,53,110,54
2020_1,1001345,HH,정체,199,57,110,54
2020_1,1001344,HH,정체,188,86,110,54
2020_1,1001343,HH,정체,125,69,110,54
2020_1,1001342,LL,다이나믹,103,53,110,54
2020_1,1001341,HH,정체,149,66,110,54
2020_1,1001340,HH,정체,133,62,110,54
2020_1,1001339,HH,정체,118,58,110,54
2020_1,1001338,HH,정체,119,60,110,54
2020_1,1001337,HH,정체,130,62,110,54
2020_1,1001336,HH,정체,123,55,110,54
2020_1,1001335,LH,상권확장,102,54,110,54
2020_1,1001334,HH,정체,111,56,110,54
2020_1,1001333,LH,상권확장,98,55,110,54
2020_1,1001332,HL,상권축소,111,50,110,54
2020_1,1001331,HL,상권축소,126,50,110,54
2020_1,1001330,HL,상권축소,111,50,110,54
2020_1,1001329,HH,정체,112,54,110,54
2020_1,1001328,HL,상권축소,134,54,110,54
2020_1,1001327,HL,상권축소,122,47,110,54
2020_1,1001326,HH,정체,117,54,110,54
2020_1,1001325,HH,정체,134,70,110,54
2020_1,1001324,HH,정체,135,55,110,54
2020_1,1001323,LL,다이나믹,107,46,110,54
2020_1,1001322,HH,정체,148,78,110,54
2020_1,1001321,HH,정체,153,57,110,54
2020_1,1001320,HH,정체,153,60,110,54
2020_1,1001319,HH,정체,134,100,110,54
2020_1,1001318,HH,정체,153,79,110,54
2020_1,1001317,HH,정체,147,93,110,54
2020_1,1001316,HH,정체,145,68,110,54
2020_1,1001315,HH,정체,172,157,110,54
2020_1,1001314,HH,정체,171,111,110,54
2020_1,1001313,HH,정체,172,100,110,54
2020_1,1001312,HL,상권축소,138,35,110,54
2020_1,1001311,HH,정체,339,192,110,54
2020_1,1001310,HH,정체,246,89,110,54
2020_1,1001309,HH,정체,122,56,110,54
2020_1,1001308,LH,상권확장,106,57,110,54
2020_1,1001307,HL,상권축소,123,52,110,54
2020_1,1001306,HL,상권축소,140,51,110,54
2020_1,1001305,HH,정체,192,56,110,54
2020_1,1001304,HL,상권축소,125,53,110,54
2020_1,1001303,HH,정체,157,66,110,54
2020_1,1001302,HH,정체,118,55,110,54
2020_1,1001301,HL,상권축소,119,51,110,54
2020_1,1001300,LL,다이나믹,92,50,110,54
2020_1,1001299,HL,상권축소,129,50,110,54
2020_1,1001298,LL,다이나믹,108,49,110,54
2020_1,1001297,HH,정체,119,59,110,54
2020_1,1001296,HH,정체,140,64,110,54
2020_1,1001295,HH,정체,111,56,110,54
2020_1,1001294,HH,정체,146,96,110,54
2020_1,1001293,HH,정체,151,80,110,54
2020_1,1001292,HH,정체,161,62,110,54
2020_1,1001291,HH,정체,142,78,110,54
2020_1,1001290,HH,정체,124,61,110,54
2020_1,1001289,HH,정체,133,56,110,54
2020_1,1001288,HH,정체,126,65,110,54
2020_1,1001287,LH,상권확장,83,63,110,54
2020_1,1001286,LH,상권확장,96,62,110,54
2020_1,1001285,LH,상권확장,106,65,110,54
2020_1,1001284,HH,정체,142,83,110,54
2020_1,1001283,HH,정체,115,55,110,54
2020_1,1001282,HH,정체,122,62,110,54
2020_1,1001281,LH,상권확장,99,67,110,54
2020_1,1001280,LH,상권확장,99,64,110,54
2020_1,1001279,HH,정체,120,68,110,54
2020_1,1001278,HH,정체,116,94,110,54
2020_1,1001277,HH,정체,171,77,110,54
2020_1,1001276,HH,정체,136,54,110,54
2020_1,1001275,HH,정체,145,55,110,54
2020_1,1001274,HH,정체,146,85,110,54
2020_1,1001273,HH,정체,151,68,110,54
2020_1,1001272,HL,상권축소,235,33,110,54
2020_1,1001271,HL,상권축소,112,53,110,54
2020_1,1001270,HH,정체,139,59,110,54
2020_1,1001269,LL,다이나믹,90,51,110,54
2020_1,1001268,HH,정체,133,83,110,54
2020_1,1001267,HH,정체,147,73,110,54
