기준_년_분기_코드,상권_코드,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,아파트_평균_면적,아파트_평균_시가
2019_2,1001495,20,921,223,329,1122,378,83,687,148,93,41,35,1886,88,431622104
2019_1,1001495,20,921,223,329,1122,378,83,687,148,93,41,35,1886,88,431622104
2019_2,1001494,8,603,20,,,,220,403,,,,,,39,103667956
2019_1,1001494,8,603,20,,,,220,403,,,,,,39,103667956
2019_2,1001493,6,365,178,26,,,9,404,132,24,,,,69,144042180
2019_1,1001493,6,365,178,26,,,9,404,132,24,,,,69,144042180
2019_2,1001491,67,602,354,111,128,122,24,214,242,406,187,104,140,84,369919205
2019_1,1001491,67,602,354,111,128,122,24,214,242,406,187,104,140,84,369919205
2019_2,1001490,30,358,328,19,2,17,33,273,232,185,,1,,65,163770517
2019_1,1001490,30,358,328,19,2,17,33,273,232,185,,1,,65,163770517
2019_2,1001489,7,33,76,9,2,1,2,34,80,4,,1,,69,184376722
2019_1,1001489,7,33,76,9,2,1,2,34,80,4,,1,,69,184376722
2019_2,1001488,8,40,122,1,,,19,23,121,,,,,55,145245238
2019_1,1001488,8,40,122,1,,,19,23,121,,,,,55,145245238
2019_2,1001486,1,4,,,,,,4,,,,,,45,148750000
2019_1,1001486,1,4,,,,,,4,,,,,,45,148750000
2019_2,1001484,22,186,17,,18,,23,175,4,19,,,,57,166598089
2019_1,1001484,22,186,17,,18,,23,175,4,19,,,,57,166598089
2019_2,1001483,7,63,6,1,,,44,22,4,,,,,37,106797619
2019_1,1001483,7,63,6,1,,,44,22,4,,,,,37,106797619
2019_2,1001482,1,6,,,,,,6,,,,,,41,147333333
2019_1,1001482,1,6,,,,,,6,,,,,,41,147333333
2019_2,1001481,4,184,419,,,,1,4,274,324,,,,74,240714664
2019_1,1001481,4,184,419,,,,1,4,274,324,,,,74,240714664
2019_2,1001480,30,407,33,6,,,58,274,94,15,5,,,42,177310031
2019_1,1001480,30,407,33,6,,,58,274,94,15,5,,,42,177310031
2019_2,1001479,11,202,126,2,,,76,110,24,,120,,,44,177834160
2019_1,1001479,11,202,126,2,,,76,110,24,,120,,,44,177834160
2019_2,1001478,130,1491,279,20,2,20,217,1030,511,32,9,2,11,51,175734884
2019_1,1001478,130,1491,279,20,2,20,217,1030,511,32,9,2,11,51,175734884
2019_2,1001477,4,48,20,,,,10,28,30,,,,,54,174976010
2019_1,1001477,4,48,20,,,,10,28,30,,,,,54,174976010
2019_2,1001476,16,126,37,,,,33,116,14,,,,,54,131967113
2019_1,1001476,16,126,37,,,,33,116,14,,,,,54,131967113
2019_2,1001474,2,152,16,,,,,,,16,,6,146,67,469861842
2019_1,1001474,2,152,16,,,,,,,16,,6,146,67,469861842
2019_2,1001473,1,,,,96,,,,,,,,96,162,1566000000
2019_1,1001473,1,,,,96,,,,,,,,96,162,1566000000
2019_2,1001472,3,28,12,2,,16,,22,10,8,2,,16,115,417534848
2019_1,1001472,3,28,12,2,,16,,22,10,8,2,,16,115,417534848
2019_2,1001471,13,242,28,6,2,,2,204,50,20,2,,,49,186072301
2019_1,1001471,13,242,28,6,2,,2,204,50,20,2,,,49,186072301
2019_2,1001470,1,38,74,44,32,,,6,102,30,50,,,95,298510638
2019_1,1001470,1,38,74,44,32,,,6,102,30,50,,,95,298510638
2019_2,1001469,2,25,2,,,,7,14,6,,,,,47,178404762
2019_1,1001469,2,25,2,,,,7,14,6,,,,,47,178404762
2019_2,1001468,4,50,,,,,,8,38,4,,,,51,241211806
2019_1,1001468,4,50,,,,,,8,38,4,,,,51,241211806
