월소득10분위별,가계수지항목별,전체가구(1분기),근로자가구(1분기),근로자외가구(1분기),전체가구(2분기),근로자가구(2분기),근로자외가구(2분기)
전체평균,가구원수(명),3.05,3.18,2.86,3.06,3.18,2.88
전체평균,가구주연령(세),53.39,49.25,59.15,53.41,49.64,59
전체평균,가구분포(%),100,100,100,100,100,100
전체평균,소득(원),4826323,5608362,3740508,4704176,5296373,3825333
전체평균,경상소득(원),4802876,5592397,3706673,4683345,5278251,3800482
전체평균,근로소득(원),3220792,4853183,954314,3169168,4648329,974038
전체평균,사업소득(원),892180,199393,1854073,908517,213727,1939611
전체평균,재산소득(원),16511,10496,24862,24909,15713,38557
전체평균,이전소득(원),673393,529324,873423,580751,400481,848277
전체평균,비경상소득(원),23447,15965,33835,20831,18122,24852
전체평균,비소비지출(원),1078279,1284723,791643,1020166,1196978,757769
전체평균,처분가능소득(원),3748044,4323639,2948865,3684011,4099395,3067564
1분위,가구원수(명),2.29,2.55,2.29,2.26,2.47,2.26
1분위,가구주연령(세),66.88,54.84,67.7,68.02,58.42,68.12
1분위,가구분포(%),10,10,9.93,10,9.99,10
1분위,소득(원),803408,1538186,521137,864545,1560663,551359
1분위,경상소득(원),802908,1537224,520846,863902,1559931,550712
1분위,근로소득(원),146928,1121837,58378,150096,1132483,35773
1분위,사업소득(원),74770,38811,33466,80996,27544,37875
1분위,재산소득(원),3748,2357,3944,4814,1485,3114
1분위,이전소득(원),577463,374219,425057,627996,398418,473951
1분위,비경상소득(원),499,962,291,642,733,647
1분위,비소비지출(원),221182,292307,210516,183165,263282,174901
1분위,처분가능소득(원),582226,1245879,310621,681380,1297381,376459
2분위,가구원수(명),2.48,2.67,2.27,2.51,2.78,2.23
2분위,가구주연령(세),59.64,52.52,68.73,59.67,51.62,69.87
2분위,가구분포(%),9.99,9.95,10.06,10,9.96,10
2분위,소득(원),1706533,2586815,1043853,1786126,2578086,1094149
2분위,경상소득(원),1704916,2578921,1042956,1785291,2572315,1093378
2분위,근로소득(원),662058,2073988,79442,727181,2071224,76065
2분위,사업소득(원),339761,54162,138074,368568,66494,151164
2분위,재산소득(원),18426,6393,5001,13286,4586,8490
2분위,이전소득(원),684671,444377,820440,676256,430011,857659
2분위,비경상소득(원),1618,7895,897,835,5771,771
2분위,비소비지출(원),352233,445939,239775,368858,428047,205947
2분위,처분가능소득(원),1354300,2140876,804078,1417267,2150040,888202
3분위,가구원수(명),2.68,3.01,2.34,2.83,3.06,2.41
3분위,가구주연령(세),56.13,50.07,65,54.95,48.4,63.48
3분위,가구분포(%),10,9.98,9.94,9.99,10.04,9.96
3분위,소득(원),2482736,3306360,1539630,2564317,3276901,1624048
3분위,경상소득(원),2477615,3297949,1537091,2558478,3276285,1623589
3분위,근로소득(원),1277498,2786888,209777,1382617,2821317,241729
3분위,사업소득(원),491355,86719,399385,550064,101266,475110
3분위,재산소득(원),17455,10396,27579,13374,9313,19893
3분위,이전소득(원),691306,413946,900351,612424,344388,886856
3분위,비경상소득(원),5122,8411,2538,5839,616,459
3분위,비소비지출(원),489314,626574,333031,479031,683341,359174
3분위,처분가능소득(원),1993423,2679786,1206599,2085286,2593560,1264874
4분위,가구원수(명),2.95,3.24,2.57,2.98,3.23,2.75
4분위,가구주연령(세),53.01,48.31,62.02,51.61,48.21,59.37
4분위,가구분포(%),9.99,10.05,10,10,10,9.97
4분위,소득(원),3204750,3974042,2119959,3257854,3864988,2213565
4분위,경상소득(원),3188110,3956983,2119340,3254397,3845560,2212116
4분위,근로소득(원),1790220,3388634,351589,1947599,3388703,371371
4분위,사업소득(원),744542,95957,828978,728328,55226,950715
4분위,재산소득(원),15449,3650,27453,24752,5557,23087
4분위,이전소득(원),637899,468742,911319,553718,396074,866943
4분위,비경상소득(원),16640,17060,620,3457,19429,1449
4분위,비소비지출(원),647707,785239,471357,678223,730531,485131
4분위,처분가능소득(원),2557043,3188804,1648603,2579631,3134458,1728434
5분위,가구원수(명),3.15,3.28,2.85,3.15,3.29,3
5분위,가구주연령(세),51.18,47.69,57.69,50.42,46.4,57.49
5분위,가구분포(%),9.97,10,10.06,10,9.99,10.05
5분위,소득(원),3881539,4637784,2789591,3895555,4415835,2900562
5분위,경상소득(원),3863336,4622917,2766766,3877762,4409848,2892667
5분위,근로소득(원),2253891,4018261,446518,2506903,3822118,547266
5분위,사업소득(원),897475,131950,1279725,768791,157847,1513088
5분위,재산소득(원),16158,12482,22477,25285,16027,24247
5분위,이전소득(원),695812,460224,1018046,576783,413856,808065
5분위,비경상소득(원),18203,14867,22825,17793,5987,7895
5분위,비소비지출(원),790692,940343,622355,780778,941127,639552
5분위,처분가능소득(원),3090847,3697441,2167236,3114777,3474708,2261010
6분위,가구원수(명),3.25,3.39,2.89,3.24,3.33,2.84
6분위,가구주연령(세),49.23,46.56,56.55,49.06,48.48,56.79
6분위,가구분포(%),10.03,10,10,10.01,9.96,9.95
6분위,소득(원),4593989,5320296,3464188,4492113,5012828,3604856
6분위,경상소득(원),4582756,5291191,3452309,4462263,5011792,3585552
6분위,근로소득(원),3009990,4602733,742185,2994906,4477136,711560
6분위,사업소득(원),1024647,141708,1680878,907021,154388,1798291
6분위,재산소득(원),13620,5044,32417,22978,11714,49279
6분위,이전소득(원),534499,541706,996829,537358,368554,1026422
6분위,비경상소득(원),11234,29106,11879,29850,1036,19304
6분위,비소비지출(원),960979,1125805,776982,934282,1105362,760105
6분위,처분가능소득(원),3633010,4194492,2687206,3557831,3907467,2844751
