기준_년_분기_코드,시군구_코드,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,주중_유동인구_수,주말_유동인구_수,시군구_코드_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균,상권_변화_지표_명
2014_1,11110,147154,85726,61430,124652,22502,종로구,109,51,91,44,정체
2014_1,11110,189584,115933,73649,157571,32012,종로구,109,51,91,44,정체
2014_1,11110,97007,60604,36403,84216,12791,종로구,109,51,91,44,정체
2014_1,11110,95160,51702,43460,76830,18328,종로구,109,51,91,44,정체
2014_1,11110,81885,41317,40567,65732,16151,종로구,109,51,91,44,정체
2014_1,11110,71933,42874,29060,60761,11172,종로구,109,51,91,44,정체
2014_1,11110,88588,52873,35717,74628,13958,종로구,109,51,91,44,정체
2014_1,11110,37217,22177,15039,32418,4800,종로구,109,51,91,44,정체
2014_1,11110,15623,9259,6365,13456,2168,종로구,109,51,91,44,정체
2014_1,11110,106778,57066,49713,87442,19338,종로구,109,51,91,44,정체
2014_1,11110,284280,159402,124881,231283,53000,종로구,109,51,91,44,정체
2014_1,11110,97843,52302,45540,80197,17649,종로구,109,51,91,44,정체
2014_1,11110,56475,36367,20108,49983,6495,종로구,109,51,91,44,정체
2014_1,11110,91543,58093,33449,80336,11208,종로구,109,51,91,44,정체
2014_1,11110,203269,124664,78605,175293,27978,종로구,109,51,91,44,정체
2014_1,11110,175259,94412,80846,144170,31090,종로구,109,51,91,44,정체
2014_1,11110,78342,52345,25998,69123,9221,종로구,109,51,91,44,정체
2014_1,11110,379539,201704,177834,310850,68687,종로구,109,51,91,44,정체
2014_1,11110,202994,116144,86851,164232,38769,종로구,109,51,91,44,정체
2014_1,11110,405321,208196,197123,322533,82783,종로구,109,51,91,44,정체
2014_1,11110,108831,55507,53323,87822,21008,종로구,109,51,91,44,정체
2014_1,11110,120308,68462,51848,101950,18359,종로구,109,51,91,44,정체
2014_1,11110,423191,229563,193628,352175,71018,종로구,109,51,91,44,정체
2014_1,11110,228274,118287,109984,184972,43305,종로구,109,51,91,44,정체
2014_1,11110,106693,53314,53380,86277,20416,종로구,109,51,91,44,정체
2014_1,11110,9874,5384,4490,8186,1682,종로구,109,51,91,44,정체
2014_1,11110,71705,40756,30949,60270,11436,종로구,109,51,91,44,정체
2014_1,11110,151599,83612,67986,129486,22114,종로구,109,51,91,44,정체
2014_1,11110,1381508,824914,556593,1186967,194543,종로구,109,51,91,44,정체
2014_1,11110,116573,72474,44098,106254,10319,종로구,109,51,91,44,정체
2014_1,11110,288775,179444,109330,257995,30777,종로구,109,51,91,44,정체
2014_1,11110,539027,332485,206542,465732,73295,종로구,109,51,91,44,정체
2014_1,11110,464358,286372,177985,402255,62104,종로구,109,51,91,44,정체
2014_1,11110,427159,269762,157397,375954,51204,종로구,109,51,91,44,정체
2014_1,11110,214247,113079,101167,174092,40155,종로구,109,51,91,44,정체
2014_1,11110,1000132,543957,456176,833523,166612,종로구,109,51,91,44,정체
2014_1,11110,146846,77697,69149,121239,25607,종로구,109,51,91,44,정체
2014_1,11110,679593,404109,275481,595798,83793,종로구,109,51,91,44,정체
2014_1,11110,227554,133559,93996,187059,40494,종로구,109,51,91,44,정체
2014_1,11110,1200492,747023,453466,1047584,152910,종로구,109,51,91,44,정체
2014_1,11110,565748,350059,215693,507433,58315,종로구,109,51,91,44,정체
2014_1,11110,1134915,682609,452305,984824,150088,종로구,109,51,91,44,정체
2014_1,11110,100604,64701,35903,89937,10665,종로구,109,51,91,44,정체
2014_1,11110,508305,310713,197591,438189,70113,종로구,109,51,91,44,정체
2014_1,11110,1634866,989612,645251,1394363,240501,종로구,109,51,91,44,정체
2014_1,11110,786654,476105,310549,672637,114016,종로구,109,51,91,44,정체
2014_1,11110,406762,232188,174573,340975,65787,종로구,109,51,91,44,정체
2014_1,11110,38178,24027,14150,33492,4684,종로구,109,51,91,44,정체
2014_1,11110,324954,183035,141919,277504,47448,종로구,109,51,91,44,정체
2014_1,11110,137876,78048,59827,115829,22049,종로구,109,51,91,44,정체
2014_1,11110,367311,191636,175678,295584,71727,종로구,109,51,91,44,정체
2014_1,11110,264613,138328,126288,209962,54653,종로구,109,51,91,44,정체
2014_1,11110,768949,389510,379445,608454,160491,종로구,109,51,91,44,정체
2014_1,11110,85312,47128,38183,70800,14511,종로구,109,51,91,44,정체
2014_1,11110,238439,157317,81122,208947,29493,종로구,109,51,91,44,정체
2014_1,11110,496529,277937,218593,430806,65723,종로구,109,51,91,44,정체
2014_1,11110,190225,118296,71928,171002,19222,종로구,109,51,91,44,정체
2014_1,11110,38363,24613,13750,33692,4671,종로구,109,51,91,44,정체
2014_1,11110,249190,135793,113396,207555,41632,종로구,109,51,91,44,정체
2014_1,11110,285452,168930,116521,232730,52719,종로구,109,51,91,44,정체
2014_1,11110,17533,10510,7023,14234,3298,종로구,109,51,91,44,정체
2014_1,11110,7292906,4352485,2940420,6317603,975315,종로구,109,51,91,44,정체
2014_2,11110,164593,93204,71387,137969,26621,종로구,110,51,92,45,정체
2014_2,11110,168471,103007,65463,140886,27583,종로구,110,51,92,45,정체
2014_2,11110,112965,69615,43351,98127,14839,종로구,110,51,92,45,정체
2014_2,11110,118818,64163,54653,96524,22291,종로구,110,51,92,45,정체
2014_2,11110,43693,21494,22201,36414,7278,종로구,110,51,92,45,정체
2014_2,11110,71067,41305,29758,59511,11556,종로구,110,51,92,45,정체
2014_2,11110,118429,67420,51010,99300,19129,종로구,110,51,92,45,정체
2014_2,11110,48720,28214,20504,41685,7037,종로구,110,51,92,45,정체
2014_2,11110,19635,11213,8423,16771,2866,종로구,110,51,92,45,정체
2014_2,11110,131937,69802,62138,108523,23416,종로구,110,51,92,45,정체
2014_2,11110,278307,155467,122836,228549,49760,종로구,110,51,92,45,정체
2014_2,11110,112561,59380,53179,92670,19890,종로구,110,51,92,45,정체
2014_2,11110,53577,33934,19643,47564,6014,종로구,110,51,92,45,정체
2014_2,11110,132966,81792,51175,114908,18059,종로구,110,51,92,45,정체
2014_2,11110,270302,160962,109337,231239,39061,종로구,110,51,92,45,정체
2014_2,11110,176152,94726,81426,145413,30737,종로구,110,51,92,45,정체
