기준_년_분기_코드,상권_코드,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
2019_2,1000953,14,,,,,3,,,,,,,,,2,,,,,1
2019_2,1001361,1,,,,,,,,,,,,1,,,,,,,
2019_2,1001387,2,,,,,,,,,,,,,2,,,,,,
2019_2,1001366,1,,,,,,,,,,,,1,,,,,,,
2019_2,1001308,4,,,,,,1,,,,,,,,2,,,,,
2019_2,1001463,3,,,,,1,,,,,,,,,,,,,,1
2019_2,1001327,4,,,,,1,,,,,,,,,2,,,,,1
2019_2,1000950,4,,,,,,,,,,,,,,2,,,,,
2019_2,1000788,6,1,,,,,,,,,,,,,1,,,,,
2019_2,1000642,3,,,,,,,,,,,,,,,,,,,1
2019_2,1000546,1,,,,,,,,,,,,,,,,,,,
2019_2,1000575,5,,1,,,,,,,,,,,,,,,,,2
2019_2,1000434,7,1,,,,,,,,,,,,,1,,,,,
2019_2,1000475,8,,1,,,,,,,,,,,,,,,,,1
2019_2,1000406,7,,,,,1,,,,,,,,,3,,,,,1
2019_2,1000266,6,,,,,2,,,,,,,,,,,,,,2
2019_2,1001152,10,1,4,,,1,,,,,,,,1,,,,,,1
2019_2,1000569,8,1,,,,1,,,,,,,,,1,,,,,
2019_2,1000797,16,,,,,2,,,,,,,,,1,,,,,2
2019_2,1001398,4,,,,,2,,,,,,,,,,,,,,
2019_2,1001283,7,,1,,,2,,,,,,,,,2,,,,,
2019_2,1000908,6,,,,,1,,,,,,,,,2,,,,,
2019_2,1000627,4,1,,,,1,,,,,,,,,1,,,,,
2019_2,1000874,7,,,,,,,,,,,,,,,,,,,5
2019_2,1000806,16,1,,,,1,,,,,,,,,6,,,,,4
2019_2,1000299,11,1,,,,1,,,,,,,,,,,,,,1
2019_2,1001040,57,,1,,,3,,,,,,,,1,8,,,,1,3
2019_2,1001008,7,,,,,,,,,,,,,1,3,,,,,2
2019_2,1000398,12,2,,,,,,,,,,,,,,,,,,1
2019_2,1000251,8,,,,,,,,,,,,,,,,,,,3
2019_2,1000595,10,1,,,,,,,,,,,,,,,,,,3
2019_2,1000448,8,,,,,,1,1,1,,,,,,,,,,,1
2019_2,1000110,20,1,3,,,1,,,,,,,,1,2,,,,1,2
2019_2,1001223,120,4,10,,,6,,,,,,,1,7,4,,,,1,14
2019_2,1000234,7,1,,,,1,,,,,,,,,,,,,,3
2019_2,1000019,24,1,,,,,,,,,,,,,7,,,,,5
2019_2,1000056,19,1,,,,3,,,,,,,,,5,,,,,4
2019_2,1000692,11,1,,,,3,,,,,,,,,,,,,,2
2019_2,1000835,13,1,,,,3,1,,,,,,,,,,,,,2
2019_2,1000718,12,2,,,,1,,,,,,,,,3,,,,,2
2019_2,1001081,55,1,5,,,2,,,,,,,,1,8,,,,,4
2019_2,1001192,43,2,1,,,5,,,,,,,,2,8,,,,1,1
2019_2,1001261,56,1,2,,1,7,,,,,,,,,,,,,,2
2019_2,1001287,2,1,,,,,,,,,,,,,,,,,,
2019_2,1001141,179,1,10,,2,10,,,,,,,1,8,9,,,,,4
2019_2,1001190,31,1,1,,1,1,,,,,,,,2,4,,,,1,4
2019_2,1000327,3,,1,,,1,,,,,,,,,,,,,,
2019_2,1001335,1,,,,,,,,,,,,,,,,,,,
2019_2,1000152,2,,,,,,,,,,,,,,,,,,,
2019_2,1001407,1,,,,,,,,,,,,,,,,,,,
2019_2,1001315,1,,,,,,,,,,,,,,,,,,,
2019_2,1000560,4,1,,,,,,,,,,,,,,,,,,
2019_2,1000267,3,,,,,,,,,,,,,,,,,,,
2019_2,1001428,2,2,,,,,,,,,,,,,,,,,,
2019_2,1000576,4,,,,,,1,,,,,,,,,,,,,
2019_2,1001006,6,,,,,,,,,,,,,,,,,,,2
2019_2,1000164,6,,,,,1,,,,,,,,,,,,,,1
2019_2,1000170,3,,,,,1,,,,,,,,,1,,,,,
2019_2,1001020,12,2,1,,,2,,,,,,,,1,,,,,,4
2019_2,1000590,6,,,,,,,,,,,,,,,,,,,3
2019_2,1000686,3,1,,,,,,,,,,,,,,,,,,2
2019_2,1000737,13,,,,,,,,,,,,,,3,,,,,6
2019_2,1001376,6,,,,,1,,,,,,,,,,,,,,
2019_2,1000607,4,,,,,,,,,,,,,,,,,,,1
2019_2,1001363,2,,,,,2,,,,,,,,,,,,,,
2019_2,1000658,6,1,,,,2,,,,,,,,,,,,,,
2019_2,1001414,30,,1,,,3,,,,,,,1,,2,,,,,2
2019_2,1000909,2,,,,,1,,,,,,,,,1,,,,,
2019_2,1000751,5,,,,,,,,,,,,,,,,,,,4
2019_2,1000025,4,,,,,,,,,,,,,,,,,,,3
2019_2,1000822,2,,,,,,,,,,,,,,,,,,,2
2019_2,1000463,7,2,1,,,1,,,,,,,,,2,,,,,1
2019_2,1000471,9,,,,,2,,,,,,,,,2,,,,,
2019_2,1000924,11,1,,,,1,,,,,,,,,2,,,,,1
2019_2,1000586,2,,,,,,,,,,,,,,,,,,,1
2019_2,1000209,1,,,,,,,,,,,,,,,,,,,
