yesrSe,sgSeCdName,sgCdName,guName,dongName,hlTotalFlowPop,hlTotalStayPop,hlTotalOffPop,hlWeekdayFlowCnt,hlWeekendFlowCnt,hlMenFlowCnt,hlWomenFlowCnt,hlMenStayCnt,hlWomenStayCnt,hlMenOffCnt,hlWomenOffCnt
2019년1분기,골목상권,부일로11길,구로구,수궁동,161694,14242,1723,110987,50715,87243,74446,7069,7173,935,788
2019년2분기,골목상권,부일로11길,구로구,수궁동,265306,14242,1736,178241,87052,132335,132964,7069,7173,1074,662
2019년1분기,골목상권,부일로15길,구로구,수궁동,190850,11001,1558,123714,67141,108281,82567,5438,5563,1058,500
2019년2분기,골목상권,부일로15길,구로구,수궁동,288272,11001,1369,184026,104237,155795,132476,5438,5563,834,535
2019년1분기,골목상권,부일로1길,구로구,수궁동,238761,8171,2231,157045,81719,118531,120230,4124,4047,1584,647
2019년2분기,골목상권,부일로1길,구로구,수궁동,308301,8171,2510,200784,107519,150331,157970,4124,4047,1740,770
2019년1분기,골목상권,남부순환로112길,금천구,가산동,1461213,17655,5498,1066622,394595,844363,616850,9575,8080,3316,2182
2019년2분기,골목상권,남부순환로112길,금천구,가산동,1717815,17655,4036,1241482,476330,979905,737907,9575,8080,2362,1674
2019년1분기,골목상권,독산로108길,금천구,독산3동,1871791,22020,5093,1386761,485040,1006595,865199,11088,10932,3346,1747
2019년2분기,골목상권,독산로108길,금천구,독산3동,1969484,22020,5283,1398704,570800,1030532,938962,11088,10932,3750,1533
2019년1분기,골목상권,독산로40길,금천구,시흥4동,581706,21044,1008,399326,182380,296836,284873,10436,10608,368,640
2019년2분기,골목상권,독산로40길,금천구,시흥4동,734653,21044,1565,494967,239684,350194,384461,10436,10608,961,604
2019년1분기,골목상권,독산로50길,금천구,시흥4동,218041,13364,499,147925,70115,110650,107396,6634,6730,164,335
2019년2분기,골목상권,독산로50길,금천구,시흥4동,297077,13364,977,196742,100333,130955,166130,6634,6730,610,367
2019년1분기,골목상권,독산로64길,금천구,독산2동,623439,18314,1453,436454,186986,323012,300430,9310,9004,523,930
