yesrSe,sgSeCdName,sgCdName,guName,dongName,totalFlowPop,totalStayPop,totalOffPop,menFlowCnt,womenFlowCnt,weekdayFlowCnt,주말_유동인구_수,menStayCnt,womenStayCnt,menOffRaitoCnt,womenOffCnt
2019년1분기,골목상권,계동길,종로구,가회동,118266,1806,348,61268,56997,86815,31451,851,955,142,206
2019년2분기,골목상권,계동길,종로구,가회동,167204,1806,609,82096,85105,118416,48780,851,955,224,385
2019년1분기,골목상권,난계로27길,종로구,숭인2동,246619,841,486,147358,99261,156385,90234,383,458,254,232
2019년2분기,골목상권,난계로27길,종로구,숭인2동,303115,841,348,179132,123984,183408,119707,383,458,159,189
2019년1분기,골목상권,돈화문로11가길,종로구,종로1.2.3.4가동,144480,1214,4822,80073,64407,107665,36815,682,532,2188,2634
2019년2분기,골목상권,돈화문로11가길,종로구,종로1.2.3.4가동,166335,1214,3804,92175,74159,123490,42846,682,532,2773,1031
2019년1분기,골목상권,옥인길,종로구,청운효자동,166390,2586,101,70339,96051,121377,45018,1163,1423,56,45
2019년2분기,골목상권,옥인길,종로구,청운효자동,162345,2586,85,60156,102190,119519,42824,1163,1423,48,37
2019년1분기,골목상권,율곡로10길,종로구,종로1.2.3.4가동,65518,249,615,33437,32080,46747,18769,147,102,353,262
2019년2분기,골목상권,율곡로10길,종로구,종로1.2.3.4가동,86500,249,351,45690,40810,60395,26106,147,102,224,127
2019년1분기,골목상권,율곡로16길,종로구,종로5.6가동,114734,469,567,66222,48514,93322,21413,251,218,371,196
2019년2분기,골목상권,율곡로16길,종로구,종로5.6가동,173527,469,319,95209,78319,142674,30849,251,218,204,115
2019년1분기,골목상권,이화장길,종로구,이화동,189535,1644,1158,94669,94864,140519,49015,801,843,567,591
2019년2분기,골목상권,이화장길,종로구,이화동,235004,1644,540,114830,120174,175034,59964,801,843,236,304
2019년1분기,골목상권,자하문로7길,종로구,사직동,171761,699,457,77098,94666,126591,45170,319,380,223,234
2019년2분기,골목상권,자하문로7길,종로구,사직동,231998,699,507,98232,133767,169197,62804,319,380,243,264
2019년1분기,골목상권,종로24길,종로구,종로1.2.3.4가동,79936,45,1898,48710,31227,62341,17597,32,13,1282,616
2019년2분기,골목상권,종로24길,종로구,종로1.2.3.4가동,98948,45,1123,58504,40443,77341,21606,32,13,778,345
2019년1분기,골목상권,종로58가길,종로구,숭인2동,258647,461,331,126652,131995,193631,65015,246,215,152,179
2019년2분기,골목상권,종로58가길,종로구,숭인2동,289526,461,170,140704,148821,217309,72218,246,215,87,83
2019년1분기,골목상권,명륜길,종로구,혜화동,322387,1453,104,155635,166753,248361,74025,711,742,58,46
2019년2분기,골목상권,명륜길,종로구,혜화동,427927,1453,42,203359,224566,334022,93904,711,742,29,13
2019년1분기,골목상권,백석동길,종로구,부암동,23622,1694,1080,10781,12848,14580,9041,826,868,692,388
2019년2분기,골목상권,백석동길,종로구,부암동,38578,1694,1686,18737,19842,23307,15276,826,868,1005,681
2019년1분기,골목상권,북촌로11길,종로구,가회동,55609,663,493,27469,28140,39445,16166,301,362,197,296
2019년2분기,골목상권,북촌로11길,종로구,가회동,78721,663,501,36875,41846,54713,24011,301,362,186,315
2019년1분기,골목상권,북촌로5길,종로구,삼청동,55288,451,443,23456,31831,36402,18884,209,242,163,280
2019년2분기,골목상권,북촌로5길,종로구,삼청동,82469,451,548,34914,47554,53151,29318,209,242,431,117
2019년1분기,골목상권,북촌로5나길,종로구,삼청동,24978,682,417,12687,12289,16957,8020,324,358,178,239
2019년2분기,골목상권,북촌로5나길,종로구,삼청동,31886,682,235,16388,15498,21870,10014,324,358,118,117
2019년1분기,골목상권,삼청로5길,종로구,삼청동,24235,759,396,12915,11320,17724,6512,340,419,171,225
2019년2분기,골목상권,삼청로5길,종로구,삼청동,33155,759,2709,17668,15487,23127,10028,340,419,2629,80
2019년1분기,골목상권,성균관로5길,종로구,혜화동,261657,947,220,133253,128405,186069,75591,458,489,114,106
2019년2분기,골목상권,성균관로5길,종로구,혜화동,327120,947,169,167415,159704,232813,94308,458,489,91,78
2019년1분기,골목상권,숭인동길,종로구,숭인2동,79384,1770,380,41436,37948,58612,20772,886,884,129,251
2019년2분기,골목상권,숭인동길,종로구,숭인2동,102802,1770,352,55202,47599,76097,26706,886,884,153,199
